Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.014478,0.0001355,-0.0027127,0,0,0,4.2719,0.01292039,-8.164E-05,-0.00033706,0.03772913,-1.848E-05,0.04632371,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/base_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/base_link.STL,,BASE-2;RS02-simplified-URDF-V1-5;RS02-simplified-URDF-V1-3;RS02-simplified-URDF-V1-4;RS02-simplified-URDF-V1-2,BASE,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
RL_hip,-0.039981,-0.0022222,-1.8726E-09,0,0,0,0.45019,0.00024248,4.402E-05,0,0.0011037,-5.0256E-12,0.00099715,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RL_hip.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RL_hip.STL,,J2-V1-4,C5,Q4,RL_hip_joint,revolute,-0.147,0.0485,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
RL_thigh,-0.0024221,0.045951,-0.038919,0,0,0,0.95949,0.0081819,-0.00015667,0.00028798,0.0060991,-0.0023776,0.0029149,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RL_thigh.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RL_thigh.STL,,J3-V1-3;S-DOG-LTHIGH-URDF-2,C6,Q5,RL_thigh_joint,revolute,-0.044,0.018,0,0,0,0,RL_hip,0,-1,0,0,0,0,0,,,,,,,,
RL_calf,0.0067777,1.9855E-06,-0.10037,0,0,0,0.14071,0.0021875,0,-0.00010679,0.0022056,-5E-08,2.369E-05,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RL_calf.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RL_calf.STL,,S-DOG-Lcalf-V2.01-URDF-2,C7,Q6,RL_calf_joint,revolute,0,0.063,-0.21,0,0,0,RL_thigh,0,1,0,0,0,0,0,,,,,,,,
RL_foot,-0.0018355,-2.7756E-17,-0.0072422,0,0,0,0.013247,1.52E-06,0,0,2.06E-06,0,1.52E-06,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RL_foot.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RL_foot.STL,,S-DOG-橡胶足底-V2.01-URDF-2,C8,Axis_RL_foot_joint,RL_foot_joint,fixed,0,0,-0.199007934855877,0,0,0,RL_calf,0,0,0,,,,,,,,,,,,
RR_hip,-0.039981,0.0022222,1.8726E-09,0,0,0,0.45019,0.00024248,-4.402E-05,0,0.0011037,0,0.00099715,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RR_hip.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RR_hip.STL,,J2-V1-3,C1,Q1,RR_hip_joint,revolute,-0.147,-0.0485,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
RR_thigh,-0.0026191,-0.046317,-0.039171,0,0,0,0.97456,0.0083492,0.00016405,0.00029587,0.0062077,0.0024412,0.0030069,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RR_thigh.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RR_thigh.STL,,J3-V1-4;S-DOG-RTHIGH-URDF-2,C2,Q2,RR_thigh_joint,revolute,-0.044,-0.0180000000000001,0,0,0,0,RR_hip,0,1,0,0,0,0,0,,,,,,,,
RR_calf,0.0067777,1.9855E-06,-0.10037,0,0,0,0.14071,0.0021875,0,-0.00010679,0.0022056,-5E-08,0,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RR_calf.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RR_calf.STL,,S-DOG-Lcalf-V2.01-URDF-4,C3,Q3,RR_calf_joint,revolute,0,-0.0630000000000226,-0.210000000000001,0,0,0,RR_thigh,0,-1,0,0,0,0,0,,,,,,,,
RR_foot,-0.0018355,-2.7756E-17,-0.0072422,0,0,0,0.013247,1.52E-06,0,0,2.06E-06,0,1.52E-06,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RR_foot.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/RR_foot.STL,,S-DOG-橡胶足底-V2.01-URDF-4,C4,Axis_RR_foot_joint,RR_foot_joint,fixed,0,0,-0.199007934855878,0,0,0,RR_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.039981,0.0022222,-1.8726E-09,0,0,0,0.45019,0.00024248,4.402E-05,0,0.0011037,0,0.00099715,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FR_hip.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FR_hip.STL,,J2-V1-2,C9,Q7,FR_hip_joint,revolute,0.147,-0.0485,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
FR_thigh,-0.0027343,-0.046317,-0.039501,0,0,0,0.97456,0.0083518,0.00016523,0.00029267,0.0062077,0.0024446,0.0030043,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FR_thigh.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FR_thigh.STL,,J3-V1-2;S-DOG-RTHIGH-URDF-1,C10,Q8,FR_thigh_joint,revolute,0.0440000000000002,-0.0179999999999994,0,0,0,0,FR_hip,0,1,0,0,0,0,0,,,,,,,,
FR_calf,0.0067777,1.9855E-06,-0.10037,0,0,0,0.14071,0.0021875,0,-0.00010679,0.0022056,-5E-08,2.369E-05,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FR_calf.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FR_calf.STL,,S-DOG-Lcalf-V2.01-URDF-3,C11,Q9,FR_calf_joint,revolute,0,-0.0630000000000001,-0.209999999999999,0,0,0,FR_thigh,0,-1,0,0,0,0,0,,,,,,,,
FR_foot,-0.0018355,-2.7756E-17,-0.0072422,0,0,0,0.013247,1.52E-06,0,0,2.06E-06,0,1.52E-06,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FR_foot.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FR_foot.STL,,S-DOG-橡胶足底-V2.01-URDF-3,C12,Axis_FR_foot_joint,FR_foot_joint,fixed,0,0,-0.199007934855877,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
FL_hip,0.039981,-0.0022222,-1.8726E-09,0,0,0,0,0.00024248,-4.402E-05,0,0.0011037,0,0.00099715,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FL_hip.STL,,J2-V1-1,C13,Q10,FL_hip_joint,revolute,0.147,0.0485000000000039,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
FL_thigh,-0.0025853,0.045437,-0.039114,0,0,0,0.95949,0.0081057,-0.00015582,0.00029042,0.0060991,-0.0023423,0.0028664,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FL_thigh.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FL_thigh.STL,,J3-V1-1;S-DOG-LTHIGH-URDF-1,C14,Q11,FL_thigh_joint,revolute,0.0439999999999999,0.0179999999999999,0,0,0,0,FL_hip,0,-1,0,0,0,0,0,,,,,,,,
FL_calf,0.0067777,1.9855E-06,-0.10037,0,0,0,0.14071,0.0021875,0,-0.00010679,0.0022056,-5E-08,2.369E-05,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FL_calf.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FL_calf.STL,,S-DOG-Lcalf-V2.01-URDF-1,C15,Q12,FL_calf_joint,revolute,0,0.062000000000001,-0.21,0,0,0,FL_thigh,0,1,0,0,0,0,0,,,,,,,,
FL_foot,-0.0018355,0,-0.0072422,0,0,0,0.013247,1.52E-06,0,0,2.06E-06,0,1.52E-06,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FL_foot.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://S-DOG-V2.01-URDF V1.0 20251117/meshes/FL_foot.STL,,S-DOG-橡胶足底-V2.01-URDF-1,C16,Axis_FL_foot_joint,FL_foot_joint,fixed,0,0,-0.199007934855877,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
